Date,index,Open,High,Low,Close,Volume,Bid1_Price,Bid1_Quantity,Ask1_Price,Ask1_Quantity,Bid2_Price,Bid2_Quantity,Ask2_Price,Ask2_Quantity,Bid3_Price,Bid3_Quantity,Ask3_Price,Ask3_Quantity,Bid4_Price,Bid4_Quantity,Ask4_Price,Ask4_Quantity,Bid5_Price,Bid5_Quantity,Ask5_Price,Ask5_Quantity
2023-05-27 18:08:00,0,26748.02,26748.02,26748.01,26748.01,3.94884,26748.01000000,6.85402000,26748.02000000,6.29035000,26748.00000000,0.01270000,26748.03000000,0.23258000,26747.97000000,0.00747000,26748.06000000,0.00366000,26747.91000000,0.00066000,26748.11000000,0.04745000,26747.82000000,0.00562000,26748.12000000,0.26960000
2023-05-27 18:09:00,0,26748.02,26751.46,26748.01,26751.45,6.95593,26751.45000000,5.05310000,26751.46000000,3.82524000,26751.44000000,1.18573000,26751.47000000,1.43775000,26751.43000000,1.74885000,26751.48000000,0.84231000,26751.40000000,0.00623000,26751.55000000,0.00066000,26751.38000000,0.00747000,26751.59000000,0.29239000
2023-05-27 18:10:00,0,26751.46,26751.46,26748.33,26748.33,4.35464,26748.33000000,0.20209000,26748.34000000,10.14716000,26748.32000000,0.03253000,26748.35000000,0.03737000,26748.10000000,0.89051000,26748.45000000,0.60058000,26748.02000000,0.00697000,26748.46000000,0.45724000,26748.01000000,0.41780000,26748.80000000,0.74933000
2023-05-27 18:11:00,0,26747.79,26747.8,26746.87,26746.88,3.60309,26746.87000000,9.51464000,26746.88000000,0.82100000,26746.86000000,0.03805000,26746.89000000,0.00405000,26746.67000000,0.04306000,26746.90000000,0.03684000,26746.46000000,0.00054000,26746.92000000,0.03683000,26746.41000000,0.40000000,26746.93000000,0.29625000
2023-05-27 18:12:00,0,26746.88,26747.31,26746.41,26746.41,4.33091,26746.41000000,0.13761000,26746.42000000,12.82132000,26746.35000000,0.00066000,26746.46000000,0.02475000,26746.13000000,0.00100000,26746.78000000,1.20000000,26745.97000000,0.07691000,26747.00000000,0.00492000,26745.83000000,0.86686000,26747.08000000,0.14849000
2023-05-27 18:13:00,0,26744.75,26744.75,26743.76,26743.76,5.86963,26743.76000000,0.17853000,26743.77000000,8.90199000,26743.75000000,0.00911000,26743.78000000,0.81000000,26743.70000000,0.02000000,26743.82000000,3.16594000,26743.67000000,0.27870000,26744.10000000,0.15375000,26743.63000000,0.05497000,26744.26000000,1.56561000
2023-05-27 18:14:00,0,26743.21,26743.21,26743.2,26743.21,5.37274,26743.20000000,3.05405000,26743.21000000,7.59848000,26743.19000000,0.37157000,26743.23000000,1.42683000,26743.18000000,0.32116000,26743.24000000,0.40974000,26743.13000000,0.28464000,26743.35000000,0.37382000,26743.01000000,0.00038000,26743.43000000,1.56003000
2023-05-27 18:15:00,0,26743.21,26743.29,26743.2,26743.28,9.39146,26743.28000000,5.37263000,26743.29000000,3.98146000,26743.27000000,0.03659000,26743.30000000,0.33688000,26743.24000000,1.60732000,26743.31000000,0.03298000,26743.23000000,1.16939000,26743.35000000,1.50769000,26743.22000000,1.00003000,26743.38000000,0.06757000
2023-05-27 18:16:00,0,26743.25,26743.25,26743.2,26743.2,5.00815,26743.20000000,1.57989000,26743.21000000,8.77878000,26743.19000000,0.00428000,26743.23000000,0.03630000,26743.16000000,0.00211000,26743.24000000,0.00185000,26743.09000000,0.28666000,26743.25000000,0.17296000,26743.01000000,0.29231000,26743.27000000,2.01536000
2023-05-27 18:17:00,0,26743.2,26743.21,26740.18,26740.18,7.97637,26740.18000000,2.81124000,26740.19000000,6.96471000,26740.17000000,0.74852000,26740.32000000,2.91112000,26740.11000000,0.00066000,26740.33000000,4.12634000,26740.00000000,0.07789000,26740.61000000,0.09346000,26739.98000000,0.95526000,26740.68000000,0.37386000
2023-05-27 18:18:00,0,26740.19,26740.19,26731.3,26731.3,14.07466,26731.30000000,6.93883000,26731.31000000,1.95248000,26731.27000000,0.00066000,26731.32000000,0.00381000,26731.20000000,0.23133000,26731.33000000,0.01874000,26731.19000000,0.31114000,26731.35000000,0.01874000,26730.88000000,0.00100000,26731.43000000,0.33040000
2023-05-27 18:19:00,0,26731.31,26731.31,26731.3,26731.31,1.8675,26731.30000000,9.25022000,26731.31000000,1.06997000,26731.27000000,0.00066000,26731.32000000,0.21576000,26731.20000000,0.23133000,26731.35000000,0.00056000,26731.19000000,0.31114000,26731.39000000,0.52771000,26730.88000000,0.00100000,26731.43000000,1.30848000
2023-05-27 18:20:00,0,26731.3,26731.31,26731.3,26731.3,5.31822,26731.30000000,10.58012000,26731.31000000,0.83139000,26731.29000000,1.40538000,26731.33000000,0.00835000,26731.28000000,0.15898000,26731.36000000,0.20743000,26731.27000000,0.00066000,26731.40000000,0.09639000,26731.26000000,0.00897000,26731.41000000,0.31105000
